geoid_o,geoid_d,month_year,visitor_flows,pop_flows,date_range
25025000202,25025010702,2021-08,31,2140.0,08/02/21 - 08/08/21
25025000202,25025010702,2021-09,24,1488.0,09/13/21 - 09/19/21
25025000202,25025010702,2021-10,16,915.0,10/04/21 - 10/10/21
25025000202,25025010702,2021-11,20,1092.0,11/01/21 - 11/07/21
25025000202,25025010702,2021-12,12,642.0,12/06/21 - 12/12/21
25025000202,25025020301,2021-05,12,683.0,05/17/21 - 05/23/21
25025000202,25025020301,2021-07,17,993.0,07/05/21 - 07/11/21
25025000202,25025020301,2021-11,17,973.0,11/08/21 - 11/14/21
25025000202,25025020301,2021-12,20,1040.0,12/13/21 - 12/19/21
25025000202,25025020302,2021-06,8,477.0,06/07/21 - 06/13/21
25025000202,25025040300,2021-04,9,454.0,04/12/21 - 04/18/21
25025000202,25025040300,2021-10,8,473.0,10/11/21 - 10/17/21
25025000202,25025040600,2021-09,20,1264.0,09/06/21 - 09/12/21
25025000202,25025040600,2021-10,8,454.0,10/04/21 - 10/10/21
25025000202,25025040600,2021-11,9,490.0,11/01/21 - 11/07/21
25025000202,25025050300,2021-06,8,473.0,06/07/21 - 06/13/21
25025000202,25025050300,2021-09,8,511.0,09/06/21 - 09/12/21
25025000202,25025060800,2021-05,8,468.0,05/24/21 - 05/30/21
25025000202,25025060800,2021-07,12,727.0,07/05/21 - 07/11/21
25025000202,25025070402,2021-04,8,454.0,04/05/21 - 04/11/21
25025000202,25025070402,2021-05,24,1417.0,05/03/21 - 05/09/21
25025000202,25025070402,2021-06,8,473.0,06/07/21 - 06/13/21
25025000202,25025070402,2021-10,16,935.0,10/11/21 - 10/17/21
25025000202,25025070402,2021-11,8,448.0,11/01/21 - 11/07/21
25025000202,25025070600,2021-10,10,579.0,10/11/21 - 10/17/21
25025000202,25025080100,2021-02,21,1280.0,02/01/21 - 02/07/21
25025000202,25025080100,2021-04,8,400.0,04/05/21 - 04/11/21
25025000202,25025080100,2021-06,12,734.0,06/21/21 - 06/27/21
25025000202,25025080100,2021-07,15,1001.0,07/05/21 - 07/11/21
25025000202,25025080401,2021-11,12,698.0,11/01/21 - 11/07/21
25025000202,25025080601,2021-09,41,2369.0,09/13/21 - 09/19/21
25025000202,25025080601,2021-10,38,2187.0,10/04/21 - 10/10/21
25025000202,25025080601,2021-11,18,960.0,11/01/21 - 11/07/21
25025000202,25025080601,2021-12,38,2043.0,12/06/21 - 12/12/21
25025000202,25025080900,2021-05,8,468.0,05/24/21 - 05/30/21
25025000202,25025081001,2021-01,8,405.0,01/11/21 - 01/17/21
25025000202,25025081001,2021-03,25,1325.0,03/15/21 - 03/21/21
25025000202,25025081001,2021-04,8,422.0,04/05/21 - 04/11/21
25025000202,25025081001,2021-06,12,719.0,06/07/21 - 06/13/21
25025000202,25025081001,2021-07,9,604.0,07/05/21 - 07/11/21
25025000202,25025081001,2021-08,20,1390.0,08/16/21 - 08/22/21
25025000202,25025081001,2021-09,28,1640.0,09/06/21 - 09/12/21
25025000202,25025081001,2021-10,40,2321.0,10/11/21 - 10/17/21
25025000202,25025081001,2021-11,45,2420.0,11/01/21 - 11/07/21
25025000202,25025081001,2021-12,36,1903.0,12/06/21 - 12/12/21
25025000202,25025081400,2021-09,56,3396.0,09/06/21 - 09/12/21
25025000202,25025081400,2021-10,8,442.0,10/04/21 - 10/10/21
25025000202,25025081700,2021-08,8,552.0,08/16/21 - 08/22/21
25025000202,25025090100,2021-12,12,645.0,12/06/21 - 12/12/21
25025000202,25025090600,2021-05,12,683.0,05/17/21 - 05/23/21
25025000202,25025090600,2021-10,8,473.0,10/11/21 - 10/17/21
25025000202,25025090700,2021-02,8,476.0,02/08/21 - 02/14/21
25025000202,25025090700,2021-05,12,726.0,05/03/21 - 05/09/21
25025000202,25025090700,2021-06,8,477.0,06/07/21 - 06/13/21
25025000202,25025090700,2021-08,14,955.0,08/16/21 - 08/22/21
25025000202,25025090700,2021-09,8,489.0,09/06/21 - 09/12/21
25025000202,25025090700,2021-10,8,454.0,10/04/21 - 10/10/21
25025000202,25025090901,2021-03,9,494.0,03/15/21 - 03/21/21
